Entity,SOP,SubSOP,Module_Name,Parent_Context
Scott Electric Distribution,PRICING,,08A_ICSEC - Barcode - UPC,CSD > Document Library > PRICING
Scott Electric Distribution,FINANCIAL,Accounts Payable,02_Enter and Process Expense Invoice,CSD > Document Library > FINANCIAL > Accounts Payable > 02_Basic AP Process
Scott Electric Distribution,PURCHASING,02_Replinishment Action Report Tasks,09_Consolidate Multiple RRARS for Different Vendor Product Lines or Warehouses,CSD > Document Library > PURCHASING > 02_Replinishment Action Report Tasks
PALCO,ISM,02_Rental Process,04_Add Re Rent Items,CSD > Document Library > PALCO POWER SYSTEMS > ISM > 02_Rental Process
Scott Electric Distribution,SALES,01_Order Entry,04_Enter a Counter Sales Order and Record Tender Payments,CSD > Document Library > SALES > 01_Order Entry
Scott Electric Distribution,PURCHASING,06.5_Run Reports,03_Print Fill Report by Class Report,CSD > Document Library > PURCHASING > 06.5_Run Reports
Scott Electric Distribution,FINANCIAL,Accounts Receivable,02_Run ARER Roll Balances asses Service Charge,CSD > Document Library > FINANCIAL > Accounts Receivable > 04_Accounts Receivable Reporting and Analysis
PALCO,ISM,08_PMA Service Orders,03_Generate SRO,CSD > Document Library > PALCO POWER SYSTEMS > ISM > 08_PMA Service Orders
PALCO,SALES,Palco Specific Sales,07_Shipping Feedback,CSD > Document Library > PALCO POWER SYSTEMS > SALES > Palco Specific Sales
Scott Electric Distribution,FINANCIAL,Accounts Payable,18_Enter Trade Invoice - PO Correction,CSD > Document Library > FINANCIAL > Accounts Payable > 02_Basic AP Process
Scott Electric Distribution,PURCHASING,08_Miscellaneous,06_Returning an Acknowledged PO to the Printed Stage,CSD > Document Library > PURCHASING > 08_Miscellaneous
Scott Electric Distribution,OPERATIONS,02_Warehouse,11_Adjust Inventory to Unavailable,CSD > Document Library > OPERATIONS > 02_Warehouse > 01_Physical or Cycle Count to Count Update
Scott Electric Distribution,PURCHASING,01_Purchase Order Entry to Print,08_Create Quote PO with Notes and Comments,CSD > Document Library > PURCHASING > 01_Purchase Order Entry to Print
Scott Electric Distribution,FINANCIAL,Accounts Payable,12_Create New Trade Vendor,CSD > Document Library > FINANCIAL > Accounts Payable > 02_Basic AP Process
Scott Electric Distribution,SALES,03_Order Review,03_Use Order Inquiry to Search for Orders,CSD > Document Library > SALES > 03_Order Review
PALCO,START UP,,06_Add Line,CSD > Document Library > PALCO POWER SYSTEMS > START UP
Scott Electric Distribution,FINANCIAL,Accounts Payable,23_Enter Invoice for Misc Vendor,CSD > Document Library > FINANCIAL > Accounts Payable > 02_Basic AP Process
Scott Electric Distribution,FINANCIAL,,Quiz Level 2 | Accounts Payable,CSD > Document Library > FINANCIAL
PALCO,ISM,07_Tech Mobile,01_Travel to Site,CSD > Document Library > PALCO POWER SYSTEMS > ISM > 07_Tech Mobile
Scott Electric Distribution,SALES,03_Order Review,01_Review the Shopping List,CSD > Document Library > SALES > 03_Order Review
Scott Electric Distribution,PURCHASING,07_Warehouse Transfers,04_Maintaining a Warehouse Tranfer,CSD > Document Library > PURCHASING > 07_Warehouse Transfers
PALCO,ISM,08_PMA Service Orders,02_Add PMA Contract Lines,CSD > Document Library > PALCO POWER SYSTEMS > ISM > 08_PMA Service Orders
Scott Electric Distribution,SALES,02_Order Modification,"04_Add Comments, Notes to Customer Sales Order",CSD > Document Library > SALES > 02_Order Modification
Scott Electric Distribution,FINANCIAL,Accounts Receivable,09_Apply Short Payment with Write-Off,CSD > Document Library > FINANCIAL > Accounts Receivable > 02_Quote to Cash
Scott Electric Distribution,z_PLAYGROUND,,01_Enter Stock Customer Sales Order -Test,CSD > Document Library > z_PLAYGROUND
Scott Electric Distribution,FINANCIAL,Accounts Receivable,16_Customer Statement Print,CSD > Document Library > FINANCIAL > Accounts Receivable > 02_Quote to Cash
Scott Electric Distribution,FINANCIAL,Accounts Payable,09_Enter a Misc Credit,CSD > Document Library > FINANCIAL > Accounts Payable > 02_Basic AP Process
Scott Electric Distribution,PURCHASING,07_Warehouse Transfers,03_Run the WTERR,CSD > Document Library > PURCHASING > 07_Warehouse Transfers
Scott Electric Distribution,FINANCIAL,Accounts Payable,14_Enter Trade Invoice - Price Deduction,CSD > Document Library > FINANCIAL > Accounts Payable > 02_Basic AP Process
Scott Electric Distribution,PURCHASING,07_Warehouse Transfers,06_Canceling a Warehouse Transfer,CSD > Document Library > PURCHASING > 07_Warehouse Transfers
Scott Electric Distribution,FINANCIAL,Accounts Receivable,18_Process Overpayment,CSD > Document Library > FINANCIAL > Accounts Receivable > 02_Quote to Cash
Scott Electric Distribution,PRICING,,09B_Reels - Creating a Rack Item,CSD > Document Library > PRICING
Scott Electric Distribution,PRICING,,08H_ICSEC Vendor Part Number,CSD > Document Library > PRICING
Scott Electric Distribution,FINANCIAL,Accounts Receivable,07_Apply Payment to Oldest Invoice,CSD > Document Library > FINANCIAL > Accounts Receivable > 02_Quote to Cash
Scott Electric Distribution,PURCHASING,07_Warehouse Transfers,07_Tying a Warehouse Transfer to a Customer Order,CSD > Document Library > PURCHASING > 07_Warehouse Transfers
Scott Electric Distribution,PRICING,,08B_Interchange - Keywords,CSD > Document Library > PRICING
Scott Electric Distribution,PJM,01_Basic Bidding Process,07_Add Customer Documents to a Job Entry,CSD > Document Library > PJM > 01_Basic Bidding Process
Scott Electric Distribution,PRICING,,12_Convert a Quote to a Pricing Record,CSD > Document Library > PRICING
Scott Electric Distribution,FINANCIAL,Accounts Payable,07_Perform a Reversal,CSD > Document Library > FINANCIAL > Accounts Payable > 02_Basic AP Process
Scott Electric Distribution,FINANCIAL,Accounts Payable,15_Enter Trade Invoice - Add On Charges,CSD > Document Library > FINANCIAL > Accounts Payable > 02_Basic AP Process
Scott Electric Distribution,PURCHASING,07_Warehouse Transfers,05_Notes on a Warehouse Transfer,CSD > Document Library > PURCHASING > 07_Warehouse Transfers
Scott Electric Distribution,PRICING,,11F_PDSP - Level 3 - Customer Type/Product (MASTER),CSD > Document Library > PRICING
PALCO,ISM,02_Rental Process,01_Create Rental Contract,CSD > Document Library > PALCO POWER SYSTEMS > ISM > 02_Rental Process
Scott Electric Distribution,PURCHASING,02_Replinishment Action Report Tasks,07_Adjust RARR Quantities Using Increase-Decrease Function in PO Demand Center,CSD > Document Library > PURCHASING > 02_Replinishment Action Report Tasks
Scott Electric Distribution,FINANCIAL,Accounts Payable,10_Enter a Debit Memo,CSD > Document Library > FINANCIAL > Accounts Payable > 02_Basic AP Process
Scott Electric Distribution,PURCHASING,01_Purchase Order Entry to Print,02_Add Items to PO and Finish It,CSD > Document Library > PURCHASING > 01_Purchase Order Entry to Print
Scott Electric Distribution,SALES,BATTERY,01_Process Core as Return Merchandise,CSD > Document Library > SALES > BATTERY
Scott Electric Distribution,FINANCIAL,Accounts Payable,"04_Change Vendor Invoice - Due Date, Discount Rate",CSD > Document Library > FINANCIAL > Accounts Payable > 02_Basic AP Process
Scott Electric Distribution,PURCHASING,01_Purchase Order Entry to Print,01_Create Purchase Order,CSD > Document Library > PURCHASING > 01_Purchase Order Entry to Print
Scott Electric Distribution,PURCHASING,08_Miscellaneous,05_Returning a Core Product,CSD > Document Library > PURCHASING > 08_Miscellaneous
PALCO,ISM,04_ISM Set Up,07_Set Up a Rate,CSD > Document Library > PALCO POWER SYSTEMS > ISM > 04_ISM Set Up
PALCO,SALES,02_Order Modification,"04_Add Comments, Notes to Customer Sales Order",CSD > Document Library > PALCO POWER SYSTEMS > SALES > 02_Order Modification
Scott Electric Distribution,OPERATIONS,02_Warehouse,07_Run WT Entry Recommended Replenishment Action Report,CSD > Document Library > OPERATIONS > 02_Warehouse > 04_Transfer Orders Picking to Shipping
Scott Electric Distribution,PURCHASING,02_Replinishment Action Report Tasks,05_Update or Validate Quantities Needed,CSD > Document Library > PURCHASING > 02_Replinishment Action Report Tasks
PALCO,ISM,02_Rental Process,03_Print Rental Agreement,CSD > Document Library > PALCO POWER SYSTEMS > ISM > 02_Rental Process
Scott Electric Distribution,FINANCIAL,Accounts Payable,20_AP Vendor Entry Pay Invoice Due Report,CSD > Document Library > FINANCIAL > Accounts Payable > 02_Basic AP Process
PALCO,ISM,03_Warranty Process,08_Mark Reconciled,CSD > Document Library > PALCO POWER SYSTEMS > ISM > 03_Warranty Process
PALCO,ISM,01_Service Order Process,07_Add Planned Transactions,CSD > Document Library > PALCO POWER SYSTEMS > ISM > 01_Service Order Process
Scott Electric Distribution,FINANCIAL,Accounts Receivable,03_Run Customer Statement (ARES),CSD > Document Library > FINANCIAL > Accounts Receivable > 04_Accounts Receivable Reporting and Analysis
Scott Electric Distribution,PURCHASING,02_Replinishment Action Report Tasks,01_Generate RRAR,CSD > Document Library > PURCHASING > 02_Replinishment Action Report Tasks
Scott Electric Distribution,PURCHASING,01_Purchase Order Entry to Print,10_Apply Hold and Approve Held PO,CSD > Document Library > PURCHASING > 01_Purchase Order Entry to Print
