RoleName,Entity,SOP,SubSOP,Coverage
Purchasing M,Scott Electric Distribution,PURCHASING,03_Basic Product Line Setup,ALL
Purchasing M,Scott Electric Distribution,PURCHASING,04_PO Print to Receipt,ALL
Purchasing M,Scott Electric Distribution,PURCHASING,05_Return Merchandise PO to Shipment,ALL
Purchasing M,Scott Electric Distribution,PURCHASING,06.5_Run Reports,ALL
Purchasing M,Scott Electric Distribution,PURCHASING,06_Demand Tasks (DEM),ALL
Purchasing M,Scott Electric Distribution,PURCHASING,07_Warehouse Transfers,ALL
Purchasing M,Scott Electric Distribution,PURCHASING,08_Miscellaneous,ALL
Returns Clerk,Scott Electric Distribution,Basics,,ALL
Returns Clerk,Scott Electric Distribution,OPERATIONS,,ALL
Returns Clerk,Scott Electric Distribution,OPERATIONS,00_Basic Warehouse,ALL
Returns Clerk,Scott Electric Distribution,PJM,01_Basic Bidding Process,NONE
Returns Clerk,Scott Electric Distribution,PJM,04_Customer Quote Creation,NONE
Returns Clerk,Scott Electric Distribution,PURCHASING,,ALL
Returns Clerk,Scott Electric Distribution,PURCHASING,01_Purchase Order Entry to Print,ALL
Returns Clerk,Scott Electric Distribution,PURCHASING,02_Replinishment Action Report Tasks,ALL
Returns Clerk,Scott Electric Distribution,PURCHASING,03_Basic Product Line Setup,ALL
Returns Clerk,Scott Electric Distribution,PURCHASING,04_PO Print to Receipt,ALL
Returns Clerk,Scott Electric Distribution,PURCHASING,05_Return Merchandise PO to Shipment,ALL
Returns Clerk,Scott Electric Distribution,PURCHASING,06.5_Run Reports,ALL
Returns Clerk,Scott Electric Distribution,PURCHASING,06_Demand Tasks (DEM),ALL
Returns Clerk,Scott Electric Distribution,PURCHASING,07_Warehouse Transfers,ALL
Returns Clerk,Scott Electric Distribution,PURCHASING,08_Miscellaneous,ALL
Sales Managers,Scott Electric Distribution,Basics,,ALL
Sales Managers,Scott Electric Distribution,FINANCIAL,,ALL
Sales Managers,Scott Electric Distribution,FINANCIAL,Accounts Payable,ALL
Sales Managers,Scott Electric Distribution,FINANCIAL,Accounts Receivable,ALL
Sales Managers,Scott Electric Distribution,FINANCIAL,Credit,ALL
Sales Managers,Scott Electric Distribution,FINANCIAL,General Ledger,ALL
Sales Managers,Scott Electric Distribution,OPERATIONS,,ALL
Sales Managers,Scott Electric Distribution,OPERATIONS,00_Basic Warehouse,ALL
Sales Managers,Scott Electric Distribution,PJM,01_Basic Bidding Process,NONE
Sales Managers,Scott Electric Distribution,PJM,04_Customer Quote Creation,NONE
Sales Managers,Scott Electric Distribution,PURCHASING,,ALL
Sales Managers,Scott Electric Distribution,PURCHASING,01_Purchase Order Entry to Print,ALL
Sales Managers,Scott Electric Distribution,PURCHASING,02_Replinishment Action Report Tasks,ALL
Sales Managers,Scott Electric Distribution,PURCHASING,03_Basic Product Line Setup,ALL
Sales Managers,Scott Electric Distribution,PURCHASING,04_PO Print to Receipt,ALL
Sales Managers,Scott Electric Distribution,PURCHASING,05_Return Merchandise PO to Shipment,ALL
Sales Managers,Scott Electric Distribution,PURCHASING,06.5_Run Reports,ALL
Sales Managers,Scott Electric Distribution,PURCHASING,06_Demand Tasks (DEM),ALL
Sales Managers,Scott Electric Distribution,PURCHASING,07_Warehouse Transfers,ALL
