Entity,SOP,SubSOP,Module_Name,RoleName,Source,Flag
PALCO,ISM,07_Tech Mobile,06_Change Status to Call Back,SysAdmin,ALL,R
PALCO,ISM,08_PMA Service Orders,04_Bill Contract,SysAdmin,ALL,R
PALCO,ISM,08_PMA Service Orders,03_Generate SRO,SysAdmin,ALL,R
PALCO,ISM,08_PMA Service Orders,02_Add PMA Contract Lines,SysAdmin,ALL,R
PALCO,ISM,08_PMA Service Orders,01_Create PMA Contract,SysAdmin,ALL,R
PALCO,PURCHASING,01_Purchase Order Entry to Print,01_Create Purchase Order,SysAdmin,ALL,R
PALCO,SALES,02_Order Modification,02_Adjust Line Items,SysAdmin,ALL,R
PALCO,SALES,02_Order Modification,06_Suspend an Order,SysAdmin,ALL,R
PALCO,SALES,02_Order Modification,05_Manually Apply Hold and Approve Held Order,SysAdmin,ALL,R
PALCO,SALES,02_Order Modification,03_Enter Stock Sales Order and Change Line Items,SysAdmin,ALL,R
PALCO,SALES,02_Order Modification,"04_Add Comments, Notes to Customer Sales Order",SysAdmin,ALL,R
PALCO,SALES,02_Order Modification,01_Add Items to Stock Customer Sales Order,SysAdmin,ALL,R
PALCO,SALES,03_Order Review,01_Review the Shopping List,SysAdmin,ALL,R
PALCO,SALES,03_Order Review,03_Use Order Inquiry to Search for Orders,SysAdmin,ALL,R
PALCO,SALES,03_Order Review,"02_Review Taxes, Totals, Payments for Stock Customer Sales Order",SysAdmin,ALL,R
